Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1n,805,107.315,-25.4,0,top
C2,100n,805,107.315,-30.48,0,top
C3,22u,805,107.315,-33.02,0,top
C4,100n,805,107.315,-27.94,0,top
C5,22p,805,94.615,-38.1,90,top
C6,22p,805,103.505,-38.1,270,top
C7,100n,805,104.775,-43.18,0,top
D1,D_Small,D_SOD-123,105.918,-38.1,90,top
J1,USB_B_Micro,USB_Micro-B_Molex-105017-0001,99.13,-24.13,180,top
R1,1k,805,104.775,-48.26,0,top
R2,1k,805,104.775,-45.72,0,top
R3,4.7k,805,98.06,-53.34,180,top
R4,10k,805,104.775,-53.848,180,top
U1,CH340G,SOIC-16_3.9x9.9mm_P1.27mm,99.13,-31.75,90,top
Y1,Crystal_GND24,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,99.06,-38.735,0,top
